iter	Logloss
0	0.6524497355
1	0.6166689051
2	0.5849263292
3	0.5599230164
4	0.5361943291
5	0.5202840761
6	0.5022272528
7	0.4889563413
8	0.4780914549
9	0.46709859
10	0.4547489966
11	0.4474966775
12	0.4402555513
13	0.4322170203
14	0.4249069957
15	0.4199874038
16	0.4146615825
17	0.4092862187
18	0.4042613368
19	0.4012392553
20	0.3980857345
21	0.3950843885
22	0.3925809577
23	0.3890707637
24	0.3861218004
25	0.3837148409
26	0.3800912509
27	0.3789933565
28	0.3759790497
29	0.3747431509
30	0.3738028198
31	0.3724295939
32	0.3710196616
33	0.3699995062
34	0.3686539133
35	0.3669534809
36	0.365602202
37	0.3641667177
38	0.3625043238
39	0.3615080029
40	0.360648842
41	0.3593852153
42	0.3576524821
43	0.3562643248
44	0.355599359
45	0.3546299807
46	0.3530832815
47	0.3522338278
48	0.3516362833
49	0.3506699731
50	0.349471056
51	0.348526569
52	0.3474506572
53	0.3459364134
54	0.3450269299
55	0.3441704897
56	0.3432748255
57	0.3424604597
58	0.3418014257
59	0.3410679415
60	0.3403188749
61	0.3381578772
62	0.3371996389
63	0.336646458
64	0.3362601294
65	0.3356213707
66	0.334812143
67	0.3342975302
68	0.333098143
69	0.3319554364
70	0.3311507843
71	0.3307426721
72	0.3301423191
73	0.3292419316
74	0.3283268349
75	0.3268192806
76	0.3259161347
77	0.3252034443
78	0.3239574939
79	0.3228370556
80	0.3225077244
81	0.321871373
82	0.3214825879
83	0.3207857438
84	0.3199914442
85	0.3196098959
86	0.3188180075
87	0.3183216033
88	0.3176088787
89	0.3163336593
90	0.3150502159
91	0.314642733
92	0.3141560854
93	0.3134720655
94	0.3131647412
95	0.3128687609
96	0.3125043552
97	0.3121756442
98	0.3115311541
99	0.3110790829
