iter	Passed	Remaining
0	59	5904
1	59	2934
2	60	1943
3	60	1447
4	60	1148
5	60	949
6	60	807
7	60	700
8	61	617
9	61	550
10	61	496
11	61	450
12	61	412
13	61	379
14	61	350
15	62	325
16	62	303
17	62	284
18	62	266
19	62	250
20	62	236
21	63	223
22	63	211
23	63	200
24	63	190
25	63	181
26	63	172
27	63	164
28	64	156
29	64	149
30	64	143
31	64	136
32	64	131
33	64	125
34	64	120
35	64	115
36	65	110
37	65	106
38	65	102
39	65	98
40	65	94
41	65	90
42	65	87
43	66	84
44	66	80
45	66	77
46	66	74
47	66	72
48	66	69
49	66	66
50	66	64
51	67	61
52	67	59
53	67	57
54	67	55
55	67	53
56	67	51
57	67	49
58	67	47
59	68	45
60	68	43
61	68	41
62	68	40
63	68	38
64	68	36
65	68	35
66	68	33
67	69	32
68	69	31
69	69	29
70	69	28
71	69	27
72	69	25
73	69	24
74	69	23
75	70	22
76	70	20
77	70	19
78	70	18
79	70	17
80	70	16
81	70	15
82	70	14
83	71	13
84	71	12
85	71	11
86	71	10
87	71	9
88	71	8
89	71	7
90	71	7
91	72	6
92	72	5
93	72	4
94	72	3
95	72	3
96	72	2
97	72	1
98	72	0
99	73	0
